State,State,State,State,State,State,State,State,Parking,SalePrice
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,1000,Fully,2,1,1,499000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,750,Fully,2,1,1,405000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,495,Partially,1,1,0,368000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,750,Fully,2,1,1,400000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,500,Fully,1,1,0,360000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Fancy,1,1,0,358000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Fully,1,1,2,330000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,500,Partially,1,1,1,280000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,940,Fully,2,1,0,490000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Fancy,1,1,0,365000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Fully,1,1,0,450000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Unfurnished,1,1,1,300000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,500,Unfurnished,1,1,1,280000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Partially,1,1,0,345000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,459,Partially,1,1,0,360000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,750,Fully,1,1,0,460000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,495,Fully,1,1,1,388000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,495,Fully,1,1,0,333000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Fancy,1,1,0,358000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,754,Partially,2,1,1,400000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,495,Fancy,1,1,0,370000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,732,Fancy,2,1,0,450000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Fancy,1,1,1,365000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,502,Fully,1,1,0,360000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Fully,1,1,1,300000
Selangor,Petaling Jaya,Amcorp Serviced Suites,Studio,488,Fully,1,1,1,350000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,1325,Fancy,4,3,1,640000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,864,Fancy,2,2,1,500000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,1042,Fully,3,2,1,490000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,1325,Unfurnished,3,3,1,595000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,864,Fully,2,2,1,400000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,910,Fancy,2,2,1,450000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,1050,Fully,4,2,1,475000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,864,Unfurnished,2,2,1,395000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,933,Unfurnished,3,2,2,430000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,708,Partially,2,1,1,300000
Selangor,Petaling Jaya,Pacific Place,Studio,708,Partially,1,1,1,360000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,651,Partially,2,1,1,385000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,1325,Unfurnished,4,3,2,540000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,651,Partially,2,1,1,385000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,933,Fully,3,2,1,460000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,864,Unfurnished,2,2,1,390000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,1050,Fancy,3,2,1,450000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,910,Fancy,2,2,1,430000
Selangor,Petaling Jaya,Pacific Place,Studio,529,Fully,1,1,1,340000
Selangor,Petaling Jaya,Pacific Place,Studio,708,Partially,1,1,1,319000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,846,Fully,2,2,1,430000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,864,Fully,2,2,1,410000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,1325,Partially,3,3,1,595000
Selangor,Petaling Jaya,Pacific Place,Studio,714,Fully,1,1,1,320000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,864,Unfurnished,2,2,1,418000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,1042,Partially,3,2,1,540000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,651,Partially,2,1,1,385000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,964,Unfurnished,2,2,1,395000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,864,Fully,2,2,1,430000
Selangor,Petaling Jaya,Pacific Place,Studio,529,Partially,1,1,1,260000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,864,Fully,2,2,1,438000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,906,Fancy,2,2,1,480000
Selangor,Petaling Jaya,Pacific Place,Serviced Residence,906,Fancy,2,2,1,480000
